tid	season	rooftype	game_played	plays	fumbles_lost
NE	2002	OUTDOOR	15	963	24
NE	2003	INDOOR	1	60	4
NE	2003	OUTDOOR	14	890	19
NE	2003	RETRACTABLE	1	92	2
NE	2004	INDOOR	1	66	1
NE	2004	OUTDOOR	15	969	23
NE	2005	INDOOR	1	58	0
NE	2005	OUTDOOR	15	973	19
NE	2006	INDOOR	1	61	3
NE	2006	OUTDOOR	15	994	24
NE	2007	INDOOR	1	62	0
NE	2007	OUTDOOR	15	996	14
NE	2008	OUTDOOR	15	1028	16
NE	2008	RETRACTABLE	1	67	1
NE	2009	INDOOR	1	70	2
NE	2009	OUTDOOR	13	875	11
NE	2009	RETRACTABLE	2	131	4
NE	2010	INDOOR	1	53	0
NE	2010	OUTDOOR	15	933	9
NE	2011	OUTDOOR	16	1082	13
NE	2012	OUTDOOR	16	1191	14
NE	2013	INDOOR	1	62	1
NE	2013	OUTDOOR	15	1076	23
NE	2014	INDOOR	2	133	1
NE	2014	OUTDOOR	14	940	12
NO	2002	INDOOR	10	603	17
NO	2002	OUTDOOR	6	398	12
NO	2003	INDOOR	9	588	20
NO	2003	OUTDOOR	7	431	13
NO	2004	INDOOR	10	625	15
NO	2004	OUTDOOR	6	364	8
NO	2005	INDOOR	6	402	7
NO	2005	OUTDOOR	10	615	16
NO	2006	INDOOR	9	570	9
NO	2006	OUTDOOR	7	505	14
NO	2007	INDOOR	10	626	15
NO	2007	OUTDOOR	5	365	8
NO	2007	RETRACTABLE	1	69	3
NO	2008	INDOOR	9	584	11
NO	2008	OUTDOOR	7	463	7
NO	2009	INDOOR	10	628	17
NO	2009	OUTDOOR	6	404	8
NO	2010	INDOOR	9	623	12
NO	2010	OUTDOOR	5	320	7
NO	2010	RETRACTABLE	2	124	4
NO	2011	INDOOR	11	748	3
NO	2011	OUTDOOR	5	369	3
NO	2012	INDOOR	9	577	6
NO	2012	OUTDOOR	6	399	5
NO	2012	RETRACTABLE	1	91	2
NO	2013	INDOOR	10	678	7
NO	2013	OUTDOOR	6	401	5
NO	2014	INDOOR	10	711	13
NO	2014	OUTDOOR	5	325	7
NO	2014	RETRACTABLE	1	59	2
NYG	2002	INDOOR	3	202	4
NYG	2002	OUTDOOR	12	788	25
